Date : 2023-12-26 03:32:12
Directory : d:\Flutter Application\book_store_manager\lib
Total : 205 files,  12911 codes, 143 comments, 1425 blanks, all 14479 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        205 |     12,911 |        143 |      1,425 |     14,479 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                 |        205 |     12,911 |        143 |      1,425 |     14,479 |
| . (Files)                                                                                                         |          2 |         94 |         12 |         10 |        116 |
| constant                                                                                                          |          6 |         48 |          0 |         11 |         59 |
| extensions                                                                                                        |          1 |         14 |          0 |          3 |         17 |
| models                                                                                                            |          8 |        292 |          0 |         41 |        333 |
| repositories                                                                                                      |         12 |        620 |          0 |        142 |        762 |
| repositories (Files)                                                                                              |          5 |        168 |          0 |         50 |        218 |
| repositories\services                                                                                             |          7 |        452 |          0 |         92 |        544 |
| screens                                                                                                           |        146 |     10,389 |        113 |      1,073 |     11,575 |
| screens\home                                                                                                      |         10 |        572 |          1 |         44 |        617 |
| screens\home (Files)                                                                                              |          1 |        191 |          0 |          3 |        194 |
| screens\home\bloc                                                                                                 |          3 |         45 |          0 |         16 |         61 |
| screens\home\views                                                                                                |          6 |        336 |          1 |         25 |        362 |
| screens\import_product                                                                                            |          6 |        414 |          0 |         41 |        455 |
| screens\import_product (Files)                                                                                    |          1 |        116 |          0 |          6 |        122 |
| screens\import_product\bloc                                                                                       |          3 |         94 |          0 |         25 |        119 |
| screens\import_product\views                                                                                      |          2 |        204 |          0 |         10 |        214 |
| screens\import_product_create                                                                                     |          7 |        646 |          0 |         59 |        705 |
| screens\import_product_create (Files)                                                                             |          1 |        208 |          0 |          8 |        216 |
| screens\import_product_create\bloc                                                                                |          3 |        113 |          0 |         31 |        144 |
| screens\import_product_create\views                                                                               |          3 |        325 |          0 |         20 |        345 |
