"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store_manager\lib\constant\app_fonts.dart", "Dart", 4, 0, 1, 5
"d:\Flutter Application\book_store_manager\lib\constant\app_icons.dart", "Dart", 21, 0, 2, 23
"d:\Flutter Application\book_store_manager\lib\constant\app_images.dart", "Dart", 12, 0, 3, 15
"d:\Flutter Application\book_store_manager\lib\constant\data_collections.dart", "Dart", 11, 0, 1, 12
"d:\Flutter Application\book_store_manager\lib\constant\data_document.dart", "Dart", 5, 0, 1, 6
"d:\Flutter Application\book_store_manager\lib\constant\enum.dart", "Dart", 6, 0, 6, 12
"d:\Flutter Application\book_store_manager\lib\extensions\datetime_ex.dart", "Dart", 63, 0, 10, 73
"d:\Flutter Application\book_store_manager\lib\extensions\string_ex.dart", "Dart", 0, 0, 2, 2
"d:\Flutter Application\book_store_manager\lib\firebase_options.dart", "Dart", 55, 12, 4, 71
"d:\Flutter Application\book_store_manager\lib\main.dart", "Dart", 47, 0, 6, 53
"d:\Flutter Application\book_store_manager\lib\models\book_type_model.dart", "Dart", 35, 0, 5, 40
"d:\Flutter Application\book_store_manager\lib\models\feedback_model.dart", "Dart", 49, 0, 4, 53
"d:\Flutter Application\book_store_manager\lib\models\home_statistic_model.dart", "Dart", 10, 0, 2, 12
"d:\Flutter Application\book_store_manager\lib\models\import_product_model.dart", "Dart", 11, 0, 3, 14
"d:\Flutter Application\book_store_manager\lib\models\notification_model.dart", "Dart", 37, 0, 4, 41
"d:\Flutter Application\book_store_manager\lib\models\order_model.dart", "Dart", 62, 0, 8, 70
"d:\Flutter Application\book_store_manager\lib\models\order_product_model.dart", "Dart", 31, 0, 4, 35
"d:\Flutter Application\book_store_manager\lib\models\product_create_model.dart", "Dart", 32, 0, 3, 35
"d:\Flutter Application\book_store_manager\lib\models\product_model.dart", "Dart", 76, 0, 10, 86
"d:\Flutter Application\book_store_manager\lib\models\reply_notification_model.dart", "Dart", 23, 0, 3, 26
"d:\Flutter Application\book_store_manager\lib\models\user_model.dart", "Dart", 40, 0, 7, 47
"d:\Flutter Application\book_store_manager\lib\repositories\feedback_repository.dart", "Dart", 31, 0, 11, 42
